Station Name,Number of Trips
Madison St & 1 St,14048
Liberty Light Rail,14211
8 St & Washington St,14320
Washington St,14973
11 St & Washington St,15380
Harborside,15639
Hudson St & 4 St,15724
Columbus Dr at Exchange Pl,16572
14 St Ferry - 14 St & Shipyard Ln,16801
12 St & Sinatra Dr N,16885
Marin Light Rail,19067
Hoboken Ave at Monmouth St,19382
Newport PATH,19826
Hamilton Park,20346
Newport Pkwy,21765
City Hall - Washington St & 1 St,23110
Hoboken Terminal - Hudson St & Hudson Pl,30093
Hoboken Terminal - River St & Hudson Pl,32776
South Waterfront Walkway - Sinatra Dr & 1 St,33852
Grove St PATH,42273
